"day_of_week","total_rides","avg_trip_duration"
"Monday","14816093","18.894910824331355"
"Tuesday","16146907","18.495399645269526"
"Wednesday","16625149","17.786656167713144"
"Thursday","16384322","18.840565999618416"
"Friday","16242836","19.620020974169783"
"Saturday","15467191","24.190332232918053"
"Sunday","13778074","26.53643027320074"
